,titles,texts
0,Anhållen efter misstänkt mord i Göteborg,"Polisen misstänker att en man kan ha blivit mördad i en bostad i Kyrkbyn på Hisingen i  Göteborg Larmet, som kom vid 10.30, gällde ett troligt hjärtstopp. I bostaden fanns en livlös man, som trots livräddande åtgärder inte kunde räddas. Eftersom kroppen dock hade vissa skador har en förundersökning om misstänkt mord alternativt dråp inletts, uppger polisen på sin webbplats. En annan man som befann sig i lägenheten togs med för förhör. Mannen anhölls senare misstänkt för mord alternativt dråp. "
1,Misstänkt mord i Göteborg,"En man misstänks ha blivit mördad i samband med ett bråk i en bostad i Högsbo i västra  Göteborg Larmet kom strax efter klockan sex på torsdagsmorgonen. Två personer som fanns i bostaden har tagits till förhör. Enligt åklagaren som leder förundersökningen är en person anhållen i sin frånvaro, rapporterar Göteborgs-Posten. Bostaden har spärrats av för en teknisk undersökning. "
2,Misstänkt mord i Göteborg,Ett misstänkt mord utreds sedan en död person hittats i en lägenhet i  Göteborg Enligt Aftonbladet fick polisen under torsdagen ett samtal om att en död person låg i en lägenhet i centrala Göteborg. Polisen åkte till platsen och kriminaltekniker kallades sedan till lägenheten. 
3,Man gripen för mord vid Heden i Göteborg,"En man i 40-årsåldern har gripits som misstänkt för att ha knivmördat en yngre man i centrala  Göteborg Offret, som var 27 år, hittades nattetid svårt skadad vid Hedens busshållplats och avled senare. Det var i första läget oklart hur han blivit skadad. Bilder från övervakningskameror tillsammans med uppgifter i 27-åringens mobiltelefon ledde polisen till den man som nu anhållits. Det är dock inte självklart att den misstänkte även erkänner brottsrubriken mord. De två männen kände inte varandra, men hade haft kontakt på kvällen före händelsen. Motivet bakom knivdådet är oklart. "
4,Åtalas för mord på kvinna i Göteborg,"En man i 35-årsåldern åtalas vid  Göteborgs Det var i början på mars som en död kvinna hittades i sin lägenhet i stadsdelen Majorna. Redan dagen efter greps den nu åtalade mannen misstänkt för dådet. Mannen åtalas också för två andra brott dagen för mordet. Det handlar dels om grov misshandel av en person, dels om försök till mord på en annan person. "
5,NULL,"Två personer har häktats som skäligen misstänkta för mordet på en 45-årig man i Högsbo i Göteborg. En tredje man greps under natten till lördagen. Den anhållne mannen, tidigare dömd för både vålds- och narkotikabrott, efterlystes omgående av polisen efter mordet. Brottsoffret hittades svårt skadad i en lägenhet i Högsbo på torsdagsmorgonen och han avled på sjukhus. Enligt uppgifter till GP har mannen knivhuggits i överkroppen. Två personer i lägenheten greps och anhölls misstänkta för händelsen. Vittnen gjorde också gällande att det funnits ytterligare en man i bostaden, han som nu anhållits. "
6,Man åtalad för mord vid Heden i Göteborg,"Offret, som var i 25-årsåldern, hittades nattetid svårt skadad vid Hedens busshållplats och avled senare. Bilder från övervakningskameror tillsammans med en filmsnutt från offrets mobiltelefon ledde snabbt polisen till den misstänkte mannen. Via filmerna från övervakningskamerorna har polisen kunnat kartlägga de två männens väg ut till köpcentret Frölunda Torg och sedan tillbaka in till Heden i centrala staden, med dokumentation av sparkar, slag och handgemäng mellan de två. Den åtalade mannen medgav redan i det första förhöret att han utdelat knivhugget som dödade mannen, men menade att det handlade om nödvärn. Enligt belastningsregistret har mannen ett brokigt förflutet med flera domar avseende vålds- och narkotikabrott. Det finns inget som tyder på att händelsen skulle vara relaterad till konflikter i olika gängmiljöer i Göteborg. "
7,Misstänkt mord i centrala Göteborg,"En man som hittades skadad utomhus vid Heden i centrala Göteborg har avlidit på sjukhus, meddelar polisen. Polisen larmades till platsen strax före klockan 22 på onsdagen. Mannen, som var i 25-årsåldern, hittades av en förbipasserande och fördes till sjukhus i ambulans. Sjukvården uppgav att han hade skottskador, men polisen säger att man inte kan bekräfta att han hade blivit skjuten. Platsen som han hittades på är avspärrad för en teknisk undersökning. Polisen har än så länge ingen misstänkt i samband med händelsen men säger att det inte verkar ha handlat om en gängkonflikt. "
8,Död man i centrala Göteborg utreds som mord,Den man i 25-årsåldern som hittades svårt skadad i centrala  Göteborg Ärendet har överöverförts till avdelningen för grova brott i Storgöteborg som utreder ärendet som mord alternativt dråp. Mannen hittades vid Heden av en förbipasserande och fördes till sjukhus men hans liv stod inte att rädda. Platsen spärrades av för en teknisk undersökning. Polisen säger att det inte verkar vara kopplat till någon gängkonflikt. 
9,Misstänkt mord i Göteborg,"En man har hittats död i en bostad i Hisings Backa i  Göteborg När polisen kom till bostaden befann sig en kvinna där. Hon har gripits och en förundersökning om misstänkt mord har inletts, uppger polisen. Bostaden har spärrats av och en teknisk undersökning kommer att genomföras. "
