,link
0,https://www.aftonbladet.se/nyheter/a/GGkbjq/anhallen-efter-misstankt-mord-i-goteborg
1,https://www.aftonbladet.se/nyheter/a/Qm5XXx/misstankt-mord-i-goteborg
2,https://www.aftonbladet.se/nyheter/a/Joyb46/misstankt-mord-i-goteborg
3,https://www.aftonbladet.se/nyheter/a/Al20Jx/man-gripen-for-mord-vid-heden-i-goteborg
4,https://www.aftonbladet.se/nyheter/a/rAkno3/atalas-for-mord-pa-kvinna-i-goteborg
5,https://www.aftonbladet.se/nyheter/a/0K9xkB/tva-haktade-for-mord-i-goteborg--en-anhallen
6,https://www.aftonbladet.se/nyheter/a/6zkwg3/man-atalad-for-mord-vid-heden-i-goteborg
7,https://www.aftonbladet.se/nyheter/a/P9Wq3b/misstankt-mord-i-centrala-goteborg
8,https://www.aftonbladet.se/nyheter/a/6jpKL8/dod-man-i-centrala-goteborg-utreds-som-mord
9,https://www.aftonbladet.se/nyheter/a/naOrX5/misstankt-mord-i-goteborg
10,https://www.aftonbladet.se/nyheter/a/8mVJmx/man-hittad-dod-i-bostad-i-goteborg--misstankt-mord
11,https://www.aftonbladet.se/nyheter/a/2GemPR/tva-haktade-efter-mord-pa-kvinna-i-goteborg
12,https://www.aftonbladet.se/nyheter/a/XgnX2m/man-haktad--sager-sig-inte-minnas-mord-i-goteborg
13,https://www.aftonbladet.se/nyheter/a/LA4QBR/knivman-atalas-for-mord-efter-dad-i-goteborg
14,https://www.aftonbladet.se/nyheter/a/O39bgb/dod-kvinna-hittad-i-skogsparti-i-sodra-goteborg--man-anhallen
15,https://www.aftonbladet.se/nyheter/a/dOQxwO/man-hittad-dod-utomhus-i-goteborg--misstankt-mord
16,https://www.aftonbladet.se/nyheter/a/rLaOdm/tonarsflicka-atalas-for-mord-i-goteborg
17,https://www.aftonbladet.se/nyheter/a/AdAVmM/skarpt-straff-for-knivmord
18,https://live.aftonbladet.se/supernytt/news/5ec81e8c7e2bea00122cc5ca
19,https://www.aftonbladet.se/nyheter/a/1742EK/man-skots-till-dods-i-gamlestaden--13-personer-doms
20,https://www.aftonbladet.se/nyheter/a/GGw7QV/knivman-doms-for-mord-efter-dad-i-goteborg
21,https://www.aftonbladet.se/nyheter/a/21Wv0G/man-har-hittats-dod-i-goteborg--polisen-misstanker-mord
22,https://www.aftonbladet.se/nyheter/a/86Opkd/gangledare-skots-ihjal-pa-vag-fran-fodelsedagsfest
23,https://www.aftonbladet.se/nyheter/a/P3QXv6/17-arig-flicka-atalas-for-mord-i-goteborg
24,https://www.aftonbladet.se/nyheter/a/wP0JeL/man-hittad-dod-i-bostad-i-goteborg--polisen-misstanker-mord
25,https://www.aftonbladet.se/nyheter/a/0EMX80/tva-gripna-for-mord-pa-goteborgare-i-tanzania
26,https://www.aftonbladet.se/nyheter/a/qLa3GO/tva-haktade-efter-dodsskjutningen-i-goteborg
27,https://www.aftonbladet.se/nyheter/a/6jQ8QQ/tio-haktade-for-medhjalp-efter-gangmord
28,https://www.aftonbladet.se/nyheter/a/lAaLqy/doms-for-mord-trots-att-offret-inte-hittats
29,https://www.aftonbladet.se/nyheter/a/4qlWwV/man-hittad-dod--utreds-som-mord
30,https://www.aftonbladet.se/nyheter/a/4qMoOG/dodades-med-66-knivhugg--nu-atalas-tva-man
31,https://www.aftonbladet.se/nyheter/a/EWexna/man-hittad-dod-vid-kyrkogard--misstankt-mord
32,https://www.aftonbladet.se/nyheter/a/wPQgkP/kvinna-hittad-dod--polisen-misstanker-mord
33,https://www.aftonbladet.se/nyheter/a/Vbvbyr/17-ar-gammalt-mordarende-uppskjutet-igen
34,https://tv.aftonbladet.se/video/331661
35,https://www.aftonbladet.se/nyheter/a/awobrM/fangelse-och-utvisning-for-dodligt-knivhugg
36,https://www.aftonbladet.se/nyheter/a/e1n5lQ/misstankt-mord-i-goteborg-man-och-kvinna-gripna
37,https://tv.aftonbladet.se/video/274233
38,https://www.aftonbladet.se/nyheter/a/9mJ6vl/misstankt-mord-i-goteborg--tva-gripna
39,https://www.aftonbladet.se/nyheter/a/LA79Jx/tre-anhallna-for-mord-vid-kyrkogard
40,https://www.aftonbladet.se/nyheter/a/G1AxG4/misstankt-mord-i-goteborg
41,https://www.aftonbladet.se/nyheter/a/GG2BKl/man-hittad-dod-pa-gard--forsvann-2017
42,https://www.aftonbladet.se/nyheter/a/50Kbm6/man-ihjalskjuten-i-gamlestaden-sarskild-handelse
43,https://tv.aftonbladet.se/video/310690
44,https://www.aftonbladet.se/nyheter/a/KyoA7y/emma-30-talar-om-skjutningar-som-nagot-vardagligt
