Column1,date,title,text,day,month,year,link
0, 28 maj 2020 kl. 12.07,Anhållen efter misstänkt mord i Göteborg,"Polisen misstänker att en man kan ha blivit mördad i en bostad i Kyrkbyn på Hisingen i  Göteborg Larmet, som kom vid 10.30, gällde ett troligt hjärtstopp. I bostaden fanns en livlös man, som trots livräddande åtgärder inte kunde räddas. Eftersom kroppen dock hade vissa skador har en förundersökning om misstänkt mord alternativt dråp inletts, uppger polisen på sin webbplats. En annan man som befann sig i lägenheten togs med för förhör. Mannen anhölls senare misstänkt för mord alternativt dråp. ",28,maj,2020,https://www.aftonbladet.se/nyheter/a/GGkbjq/anhallen-efter-misstankt-mord-i-goteborg
1, 07 januari 2021 kl. 08.35,Misstänkt mord i Göteborg,"En man misstänks ha blivit mördad i samband med ett bråk i en bostad i  Göteborg Larmet kom strax efter klockan sex på torsdagsmorgonen. Två personer som fanns i bostaden har tagits till förhör. Enligt åklagaren som leder förundersökningen är en person anhållen i sin frånvaro, rapporterar Göteborgs-Posten. Bostaden har spärrats av för en teknisk undersökning. ",07,januari,2021,https://www.aftonbladet.se/nyheter/a/Qm5XXx/misstankt-mord-i-goteborg
2, 05 mars 2020 kl. 16.44,Misstänkt mord i Göteborg,Ett misstänkt mord utreds sedan en död person hittats i en lägenhet i  Göteborg Enligt Aftonbladet fick polisen under torsdagen ett samtal om att en död person låg i en lägenhet i centrala Göteborg. Polisen åkte till platsen och kriminaltekniker kallades sedan till lägenheten. ,05,mars,2020,https://www.aftonbladet.se/nyheter/a/Joyb46/misstankt-mord-i-goteborg
3, 17 september 2020 kl. 12.47,Man gripen för mord vid Heden i Göteborg,"En man i 40-årsåldern har gripits som misstänkt för att ha knivmördat en yngre man i centrala  Göteborg Offret, som var 27 år, hittades nattetid svårt skadad vid Hedens busshållplats och avled senare. Det var i första läget oklart hur han blivit skadad. Bilder från övervakningskameror tillsammans med uppgifter i 27-åringens mobiltelefon ledde polisen till den man som nu anhållits. Det är dock inte självklart att den misstänkte även erkänner brottsrubriken mord. De två männen kände inte varandra, men hade haft kontakt på kvällen före händelsen. Motivet bakom knivdådet är oklart. ",17,september,2020,https://www.aftonbladet.se/nyheter/a/Al20Jx/man-gripen-for-mord-vid-heden-i-goteborg
4, 26 juni 2020 kl. 09.58,Åtalas för mord på kvinna i Göteborg,"En man i 35-årsåldern åtalas vid  Göteborgs Det var i början på mars som en död kvinna hittades i sin lägenhet i stadsdelen Majorna. Redan dagen efter greps den nu åtalade mannen misstänkt för dådet. Mannen åtalas också för två andra brott dagen för mordet. Det handlar dels om grov misshandel av en person, dels om försök till mord på en annan person. ",26,juni,2020,https://www.aftonbladet.se/nyheter/a/rAkno3/atalas-for-mord-pa-kvinna-i-goteborg
5, 09 januari 2021 kl. 15.17,NULL,"Två personer har häktats som skäligen misstänkta för mordet på en 45-årig man i Högsbo i Göteborg. En tredje man greps under natten till lördagen. Den anhållne mannen, tidigare dömd för både vålds- och narkotikabrott, efterlystes omgående av polisen efter mordet. Brottsoffret hittades svårt skadad i en lägenhet i Högsbo på torsdagsmorgonen och han avled på sjukhus. Enligt uppgifter till GP har mannen knivhuggits i överkroppen. Två personer i lägenheten greps och anhölls misstänkta för händelsen. Vittnen gjorde också gällande att det funnits ytterligare en man i bostaden, han som nu anhållits. ",09,januari,2021,https://www.aftonbladet.se/nyheter/a/0K9xkB/tva-haktade-for-mord-i-goteborg--en-anhallen
6, 13 november 2020 kl. 11.50,Man åtalad för mord vid Heden i Göteborg,"Offret, som var i 25-årsåldern, hittades nattetid svårt skadad vid Hedens busshållplats och avled senare. Bilder från övervakningskameror tillsammans med en filmsnutt från offrets mobiltelefon ledde snabbt polisen till den misstänkte mannen. Via filmerna från övervakningskamerorna har polisen kunnat kartlägga de två männens väg ut till köpcentret Frölunda Torg och sedan tillbaka in till Heden i centrala staden, med dokumentation av sparkar, slag och handgemäng mellan de två. Den åtalade mannen medgav redan i det första förhöret att han utdelat knivhugget som dödade mannen, men menade att det handlade om nödvärn. Enligt belastningsregistret har mannen ett brokigt förflutet med flera domar avseende vålds- och narkotikabrott. Det finns inget som tyder på att händelsen skulle vara relaterad till konflikter i olika gängmiljöer i Göteborg. ",13,november,2020,https://www.aftonbladet.se/nyheter/a/6zkwg3/man-atalad-for-mord-vid-heden-i-goteborg
7, 26 augusti 2020 kl. 22.36,Misstänkt mord i centrala Göteborg,"En man som hittades skadad utomhus vid Heden i centrala Göteborg har avlidit på sjukhus, meddelar polisen. Polisen larmades till platsen strax före klockan 22 på onsdagen. Mannen, som var i 25-årsåldern, hittades av en förbipasserande och fördes till sjukhus i ambulans. Sjukvården uppgav att han hade skottskador, men polisen säger att man inte kan bekräfta att han hade blivit skjuten. Platsen som han hittades på är avspärrad för en teknisk undersökning. Polisen har än så länge ingen misstänkt i samband med händelsen men säger att det inte verkar ha handlat om en gängkonflikt. ",26,augusti,2020,https://www.aftonbladet.se/nyheter/a/P9Wq3b/misstankt-mord-i-centrala-goteborg
8, 27 augusti 2020 kl. 10.57,Död man i centrala Göteborg utreds som mord,Den man i 25-årsåldern som hittades svårt skadad i centrala  Göteborg Ärendet har överöverförts till avdelningen för grova brott i Storgöteborg som utreder ärendet som mord alternativt dråp. Mannen hittades vid Heden av en förbipasserande och fördes till sjukhus men hans liv stod inte att rädda. Platsen spärrades av för en teknisk undersökning. Polisen säger att det inte verkar vara kopplat till någon gängkonflikt. ,27,augusti,2020,https://www.aftonbladet.se/nyheter/a/6jpKL8/dod-man-i-centrala-goteborg-utreds-som-mord
9, 23 augusti 2019 kl. 20.39,Misstänkt mord i Göteborg,"En man har hittats död i en bostad i Hisings Backa i  Göteborg När polisen kom till bostaden befann sig en kvinna där. Hon har gripits och en förundersökning om misstänkt mord har inletts, uppger polisen. Bostaden har spärrats av och en teknisk undersökning kommer att genomföras. ",23,augusti,2019,https://www.aftonbladet.se/nyheter/a/naOrX5/misstankt-mord-i-goteborg
